"TAZ"	"COUNTY_FIP"	"COUNTY_NM"
1521	33	"King"
1522	33	"King"
1523	33	"King"
1524	33	"King"
1525	33	"King"
1526	33	"King"
1527	33	"King"
1528	33	"King"
1529	33	"King"
1530	33	"King"
1531	33	"King"
1532	33	"King"
1533	33	"King"
1534	33	"King"
1535	33	"King"
1536	33	"King"
1537	33	"King"
1538	33	"King"
1539	33	"King"
1540	33	"King"
1541	33	"King"
1542	33	"King"
1543	33	"King"
1544	33	"King"
1545	33	"King"
1546	33	"King"
1547	33	"King"
1548	33	"King"
1549	33	"King"
1550	33	"King"
1551	33	"King"
1552	33	"King"
1553	33	"King"
1554	33	"King"
1555	33	"King"
1556	33	"King"
1557	33	"King"
1558	33	"King"
1559	33	"King"
1560	33	"King"
1561	33	"King"
1562	33	"King"
1563	33	"King"
1564	33	"King"
1565	33	"King"
1566	33	"King"
1567	33	"King"
1568	33	"King"
1569	33	"King"
1570	33	"King"
1571	33	"King"
1572	33	"King"
1573	33	"King"
1574	33	"King"
1575	33	"King"
1576	33	"King"
1577	33	"King"
1578	33	"King"
1579	33	"King"
1580	33	"King"
1581	33	"King"
1582	33	"King"
1583	33	"King"
1584	33	"King"
1585	33	"King"
1586	33	"King"
1587	33	"King"
1588	33	"King"
1589	33	"King"
1590	33	"King"
1591	33	"King"
1592	33	"King"
1593	33	"King"
1594	33	"King"
1595	33	"King"
1596	33	"King"
1597	33	"King"
1598	33	"King"
1599	33	"King"
1600	33	"King"
1601	33	"King"
1602	33	"King"
1603	33	"King"
1604	33	"King"
1605	33	"King"
1606	33	"King"
1607	33	"King"
1608	33	"King"
1609	33	"King"
1610	33	"King"
1611	33	"King"
1612	33	"King"
1613	33	"King"
1614	33	"King"
1615	33	"King"
1616	33	"King"
1617	33	"King"
1618	33	"King"
1619	33	"King"
1620	33	"King"
1621	33	"King"
1622	33	"King"
1623	33	"King"
1624	33	"King"
1625	33	"King"
1626	33	"King"
1627	33	"King"
1628	33	"King"
1629	33	"King"
1630	33	"King"
1631	33	"King"
1632	33	"King"
1633	33	"King"
1634	33	"King"
1635	33	"King"
1636	33	"King"
1637	33	"King"
1638	33	"King"
1639	33	"King"
1640	33	"King"
1641	33	"King"
1642	33	"King"
1643	33	"King"
1644	33	"King"
1645	33	"King"
1646	33	"King"
